"chr","windowStart","windowEnd","D","f_d","f_dM","StartMb","EndMb","center","Chrom","fd_filtered","Cat","CatConserv"
"NC_030306.1",76069,119115,0.091255,0.023644,0.013137,0.076069,0.119115,0.097592,"Chr4",0.023644,"Collinear",NA
"NC_030306.1",119120,194167,0.02096,0.003387,0.002241,0.11912,0.194167,0.1566435,"Chr4",0.003387,"Collinear",NA
"NC_030306.1",194272,221147,-0.062959,-0.021196,-0.011473,0.194272,0.221147,0.2077095,"Chr4",NA,"Collinear",NA
"NC_030306.1",221155,312860,0.115695,0.036896,0.022208,0.221155,0.31286,0.2670075,"Chr4",0.036896,"Collinear",NA
"NC_030306.1",313806,357652,0.201207,0.069342,0.034243,0.313806,0.357652,0.335729,"Chr4",0.069342,"Collinear",NA
"NC_030306.1",358098,408516,-0.062496,-0.0148,-0.007121,0.358098,0.408516,0.383307,"Chr4",NA,"Collinear",NA
"NC_030306.1",408527,453038,-0.129724,-0.042529,-0.018833,0.408527,0.453038,0.4307825,"Chr4",NA,"Collinear",NA
"NC_030306.1",453921,482268,-0.058467,-0.032171,-0.012527,0.453921,0.482268,0.4680945,"Chr4",NA,"Collinear",NA
"NC_030306.1",482274,512680,-0.012152,-0.004045,-0.002177,0.482274,0.51268,0.497477,"Chr4",NA,"Collinear",NA
"NC_030306.1",512831,546922,-0.275274,-0.118798,-0.051493,0.512831,0.546922,0.5298765,"Chr4",NA,"Collinear",NA
"NC_030306.1",547126,600221,0.138748,0.053473,0.022654,0.547126,0.600221,0.5736735,"Chr4",0.053473,"Collinear",NA
"NC_030306.1",600612,653178,0.056394,0.016407,0.006669,0.600612,0.653178,0.626895,"Chr4",0.016407,"Collinear",NA
"NC_030306.1",653186,680047,0.139816,0.048689,0.023471,0.653186,0.680047,0.6666165,"Chr4",0.048689,"Collinear",NA
"NC_030306.1",680052,691382,0.186695,0.096132,0.052867,0.680052,0.691382,0.685717,"Chr4",0.096132,"Collinear",NA
"NC_030306.1",691402,742426,0.020151,0.005818,0.002759,0.691402,0.742426,0.716914,"Chr4",0.005818,"Collinear",NA
"NC_030306.1",742455,782618,0.091391,0.031921,0.015911,0.742455,0.782618,0.7625365,"Chr4",0.031921,"Collinear",NA
"NC_030306.1",782639,800312,0.073481,0.043362,0.01922,0.782639,0.800312,0.7914755,"Chr4",0.043362,"Collinear",NA
"NC_030306.1",800464,818347,0.182765,0.087998,0.050708,0.800464,0.818347,0.8094055,"Chr4",0.087998,"Collinear",NA
"NC_030306.1",818372,831612,0.047268,0.035288,0.022123,0.818372,0.831612,0.824992,"Chr4",0.035288,"Collinear",NA
"NC_030306.1",831718,838379,-0.105027,-0.149696,-0.078987,0.831718,0.838379,0.8350485,"Chr4",NA,"Collinear",NA
"NC_030306.1",838391,856923,-0.001663,-0.001123,-0.000526,0.838391,0.856923,0.847657,"Chr4",NA,"Collinear",NA
"NC_030306.1",856938,885619,0.132437,0.054347,0.034043,0.856938,0.885619,0.8712785,"Chr4",0.054347,"Collinear",NA
"NC_030306.1",885837,922302,-0.028163,-0.006218,-0.002972,0.885837,0.922302,0.9040695,"Chr4",NA,"Collinear",NA
